school,sex,age,address,Pstatus,guardian,traveltime,studytime,failures,paid,internet,health,absences,G1,G2,G3,extra,aproved
MS,F,16,U,T,father,2,1,0,no,yes,5,11,10,11,11,1,1
MS,F,16,R,T,mother,2,2,0,no,yes,5,0,12,12,12,1,1
MS,F,15,R,T,mother,1,1,1,no,no,2,6,10,10,10,1,1
MS,F,15,R,T,mother,2,1,0,no,yes,5,4,10,10,11,1,1
MS,F,16,R,T,mother,2,2,0,no,no,5,0,16,17,17,0,1
MS,F,15,R,T,mother,2,1,0,no,no,1,0,6,8,9,0,0
MS,M,16,R,A,mother,1,2,0,no,no,2,5,10,11,11,1,1
MS,M,16,U,A,mother,1,3,0,no,yes,5,0,10,11,11,1,1
MS,F,17,R,T,father,1,2,1,no,no,5,0,10,10,10,1,1
MS,F,17,R,T,father,1,1,1,no,yes,5,0,6,6,7,0,0
MS,F,15,R,T,mother,2,1,0,no,yes,5,0,13,14,14,1,1
MS,F,16,U,A,mother,2,4,0,no,no,1,4,10,9,11,1,1
MS,F,15,R,T,father,2,2,0,no,yes,4,0,10,10,10,1,1
MS,F,15,R,T,mother,2,1,1,no,yes,2,4,6,7,8,0,0
MS,F,16,R,T,mother,2,1,0,no,no,2,0,12,11,12,1,1
MS,F,17,R,T,mother,2,1,0,no,yes,3,2,10,11,12,1,1
MS,F,15,R,T,father,2,1,0,no,yes,4,0,14,16,16,0,1
MS,M,16,U,T,mother,2,2,0,no,no,3,0,7,0,0,0,0
MS,M,17,U,T,mother,1,2,0,yes,yes,5,4,8,9,9,0,0
MS,M,15,R,T,father,1,2,0,no,yes,2,0,12,13,14,1,1
MS,M,15,R,T,father,1,2,0,no,yes,2,7,7,9,8,0,0
MS,M,16,R,T,mother,3,2,0,no,no,5,4,9,10,11,1,1
MS,M,15,R,T,mother,4,2,0,no,no,4,8,7,9,9,0,0
MS,M,15,U,T,father,1,2,0,no,yes,5,0,11,11,11,1,1
MS,M,17,R,T,mother,3,1,0,no,no,3,8,8,10,9,0,0
MS,F,16,R,T,mother,2,3,0,no,yes,4,6,16,16,17,0,1
MS,F,15,R,T,mother,2,1,0,no,no,1,3,11,13,13,1,1
MS,F,16,R,T,mother,3,2,0,no,yes,1,2,15,15,15,0,1
MS,M,16,R,T,father,2,2,0,no,no,5,0,10,11,11,1,1
MS,F,16,R,T,mother,3,2,0,no,yes,4,4,9,10,11,1,1
MS,F,16,U,T,mother,1,3,1,no,no,4,0,10,8,8,0,0
MS,F,16,U,T,mother,1,3,1,no,no,4,3,9,8,8,0,0
MS,F,15,U,T,mother,1,2,0,no,yes,2,0,9,10,9,0,0
MS,F,16,U,T,father,1,2,0,no,no,2,0,13,14,15,0,1
MS,M,17,R,T,mother,1,1,0,no,yes,3,4,10,11,11,1,1
MS,F,16,R,T,father,4,4,0,no,yes,1,0,13,10,13,1,1
MS,F,16,R,T,father,4,3,0,no,no,5,2,10,9,10,1,1
MS,F,15,R,T,father,2,2,0,no,yes,2,1,11,10,11,1,1
MS,F,16,R,T,mother,2,1,0,no,yes,2,0,13,12,14,1,1
MS,F,15,R,T,father,3,2,0,no,no,2,0,13,14,14,1,1
MS,F,15,R,T,father,1,3,0,no,no,5,2,14,11,12,1,1
MS,M,16,R,T,father,2,1,0,no,no,5,6,11,11,11,1,1
