Year,Month,DayofMonth,DayOfWeek,Actual_Shipment_Time,Planned_Shipment_Time,Planned_Delivery_Time,Carrier_Name,Carrier_Num,Planned_TimeofTravel,Shipment_Delay,Source,Destination,Distance,Delivery_Status
2020,1,3,4,20:03,19:55,22:25,WN,335,150,8.0,IAD,TPA,810,0.0
2020,1,3,4,7:54,7:35,10:00,WN,3231,145,19.0,IAD,TPA,810,1.0
2020,1,3,4,6:28,6:20,7:50,WN,448,90,8.0,IND,BWI,515,0.0
2020,1,3,4,9:26,9:30,11:00,WN,1746,90,-4.0,IND,BWI,515,0.0
2020,1,3,4,18:29,17:55,19:25,WN,3920,90,34.0,IND,BWI,515,1.0
2020,1,3,4,19:40,19:15,21:10,WN,378,115,25.0,IND,JAX,688,1.0
2020,1,3,4,19:37,18:30,19:40,WN,509,250,67.0,IND,LAS,1591,1.0
2020,1,3,4,10:39,10:40,11:50,WN,535,250,-1.0,IND,LAS,1591,0.0
2020,1,3,4,6:17,6:15,6:50,WN,11,95,2.0,IND,MCI,451,0.0
2020,1,3,4,16:20,16:20,16:55,WN,810,95,0.0,IND,MCI,451,0.0
2020,1,3,4,7:06,7:00,9:15,WN,100,135,6.0,IND,MCO,828,0.0
2020,1,3,4,16:44,15:10,17:25,WN,1333,135,94.0,IND,MCO,828,1.0
2020,1,3,4,14:26,14:30,14:25,WN,829,55,-4.0,IND,MDW,162,0.0
2020,1,3,4,7:15,7:15,7:10,WN,1016,55,0.0,IND,MDW,162,0.0
2020,1,3,4,17:02,17:00,16:55,WN,1827,55,2.0,IND,MDW,162,0.0
2020,1,3,4,10:29,10:20,10:10,WN,2272,50,9.0,IND,MDW,162,0.0
2020,1,3,4,14:52,14:25,16:25,WN,675,240,27.0,IND,PHX,1489,1.0
2020,1,3,4,7:54,7:45,9:55,WN,1144,250,9.0,IND,PHX,1489,0.0
2020,1,3,4,13:23,12:55,15:10,WN,4,135,28.0,IND,TPA,838,1.0
2020,1,3,4,14:16,13:25,14:35,WN,54,70,51.0,ISP,BWI,220,1.0
2020,1,3,4,7:06,7:05,8:10,WN,68,65,1.0,ISP,BWI,220,0.0
2020,1,3,4,16:57,16:25,17:35,WN,623,70,32.0,ISP,BWI,220,1.0
2020,1,3,4,19:00,18:40,19:50,WN,717,70,20.0,ISP,BWI,220,1.0
2020,1,3,4,10:39,10:30,11:40,WN,1244,70,9.0,ISP,BWI,220,0.0
